
> Task :compileJava

> Task :processResources NO-SOURCE
> Task :classes

> Task :run
algorithmName,arraySize,arrayType,shufflePercentage,isInverted,timeTaken
assignment1.BubbleSortWhileNeeded@2503dbd3,79274,Integer,50,false,25111027790
assignment1.BubbleSortPassPerItem@14dad5dc,79274,Integer,75,false,39894396234
assignment1.BubbleSortUntilNoChange@330bedb4,79274,Integer,75,false,43328061879
assignment1.BubbleSortWhileNeeded@2503dbd3,79274,Integer,75,false,27733756493
assignment1.BubbleSortPassPerItem@14dad5dc,67255,Integer,100,true,24350367633
assignment1.BubbleSortUntilNoChange@330bedb4,67255,Integer,100,true,25541185113
assignment1.BubbleSortWhileNeeded@2503dbd3,67255,Integer,100,true,15876139310
assignment1.BubbleSortPassPerItem@14dad5dc,67255,Integer,25,false,25855525144
assignment1.BubbleSortUntilNoChange@330bedb4,67255,Integer,25,false,27861091550
assignment1.BubbleSortWhileNeeded@2503dbd3,67255,Integer,25,false,16786108339
assignment1.BubbleSortPassPerItem@14dad5dc,67255,Integer,50,false,26843838104
assignment1.BubbleSortUntilNoChange@330bedb4,67255,Integer,50,false,28997823172
assignment1.BubbleSortWhileNeeded@2503dbd3,67255,Integer,50,false,17859622222
assignment1.BubbleSortPassPerItem@14dad5dc,67255,Integer,75,false,28656604247
assignment1.BubbleSortUntilNoChange@330bedb4,67255,Integer,75,false,31072186823
assignment1.BubbleSortWhileNeeded@2503dbd3,67255,Integer,75,false,19770667336
assignment1.BubbleSortPassPerItem@14dad5dc,55721,Integer,100,true,16952876817
assignment1.BubbleSortUntilNoChange@330bedb4,55721,Integer,100,true,17627227317
assignment1.BubbleSortWhileNeeded@2503dbd3,55721,Integer,100,true,10514144888
assignment1.BubbleSortPassPerItem@14dad5dc,55721,Integer,25,false,17841622324
assignment1.BubbleSortUntilNoChange@330bedb4,55721,Integer,25,false,19120174765
assignment1.BubbleSortWhileNeeded@2503dbd3,55721,Integer,25,false,11489502769
assignment1.BubbleSortPassPerItem@14dad5dc,55721,Integer,50,false,18356676284
assignment1.BubbleSortUntilNoChange@330bedb4,55721,Integer,50,false,19871140690
assignment1.BubbleSortWhileNeeded@2503dbd3,55721,Integer,50,false,12188722166
assignment1.BubbleSortPassPerItem@14dad5dc,55721,Integer,75,false,19515826662
assignment1.BubbleSortUntilNoChange@330bedb4,55721,Integer,75,false,21484567440
assignment1.BubbleSortWhileNeeded@2503dbd3,55721,Integer,75,false,14429804912
assignment1.BubbleSortPassPerItem@14dad5dc,61770,Integer,100,true,21029940995
assignment1.BubbleSortUntilNoChange@330bedb4,61770,Integer,100,true,21935112870
assignment1.BubbleSortWhileNeeded@2503dbd3,61770,Integer,100,true,13236410748
assignment1.BubbleSortPassPerItem@14dad5dc,61770,Integer,25,false,21684876772
assignment1.BubbleSortUntilNoChange@330bedb4,61770,Integer,25,false,23627738002
assignment1.BubbleSortWhileNeeded@2503dbd3,61770,Integer,25,false,14134148231
assignment1.BubbleSortPassPerItem@14dad5dc,61770,Integer,50,false,22535340443
assignment1.BubbleSortUntilNoChange@330bedb4,61770,Integer,50,false,24582341862
assignment1.BubbleSortWhileNeeded@2503dbd3,61770,Integer,50,false,14980477236
assignment1.BubbleSortPassPerItem@14dad5dc,61770,Integer,75,false,24037003341
assignment1.BubbleSortUntilNoChange@330bedb4,61770,Integer,75,false,26279058604
assignment1.BubbleSortWhileNeeded@2503dbd3,61770,Integer,75,false,16557196371
assignment1.BubbleSortPassPerItem@14dad5dc,53274,Integer,100,true,15361406240
assignment1.BubbleSortUntilNoChange@330bedb4,53274,Integer,100,true,15989833550
assignment1.BubbleSortWhileNeeded@2503dbd3,53274,Integer,100,true,9560613089
assignment1.BubbleSortPassPerItem@14dad5dc,53274,Integer,25,false,16086382962
assignment1.BubbleSortUntilNoChange@330bedb4,53274,Integer,25,false,17407530462
assignment1.BubbleSortWhileNeeded@2503dbd3,53274,Integer,25,false,10395841299
assignment1.BubbleSortPassPerItem@14dad5dc,53274,Integer,50,false,16636269799
assignment1.BubbleSortUntilNoChange@330bedb4,53274,Integer,50,false,18001917974
assignment1.BubbleSortWhileNeeded@2503dbd3,53274,Integer,50,false,11027126283
assignment1.BubbleSortPassPerItem@14dad5dc,53274,Integer,75,false,17726723207
assignment1.BubbleSortUntilNoChange@330bedb4,53274,Integer,75,false,19249672296
assignment1.BubbleSortWhileNeeded@2503dbd3,53274,Integer,75,false,12171496750
assignment1.BubbleSortPassPerItem@14dad5dc,73656,Integer,100,true,29477780971
assignment1.BubbleSortUntilNoChange@330bedb4,73656,Integer,100,true,30836598295
assignment1.BubbleSortWhileNeeded@2503dbd3,73656,Integer,100,true,18997709430
assignment1.BubbleSortPassPerItem@14dad5dc,73656,Integer,25,false,30924380546
assignment1.BubbleSortUntilNoChange@330bedb4,73656,Integer,25,false,33701145371
assignment1.BubbleSortWhileNeeded@2503dbd3,73656,Integer,25,false,20201873006
assignment1.BubbleSortPassPerItem@14dad5dc,73656,Integer,50,false,32149837656
assignment1.BubbleSortUntilNoChange@330bedb4,73656,Integer,50,false,35090459357
assignment1.BubbleSortWhileNeeded@2503dbd3,73656,Integer,50,false,21478768878
